market_id,platform,category,open_ts,close_ts,outcome,predicted,signal_offset_ms,bid_side,bid_price,shares,filled,queue_ahead_at_place,fill_time_ms,correct,realistic_pnl,naive_pnl,ref_price_open,ref_price_close
xrp-updown-15m-1771845300,polymarket,xrp,1771845300,1771846200,NO,YES,-28855,YES,0.49,10.0,true,9.48,48284,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-5m-1771845600,polymarket,btc,1771845600,1771845900,NO,YES,-28613,YES,0.49,10.0,true,5.0,-18486,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-5m-1771846200,polymarket,btc,1771846200,1771846500,NO,YES,-28671,YES,0.49,10.0,true,136.8,-11725,false,-4.9,-4.9,0.0,0.0
btc-updown-5m-1771846800,polymarket,btc,1771846800,1771847100,NO,YES,-27716,YES,0.49,10.0,true,5928.52,5421,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-15m-1771847100,polymarket,btc,1771847100,1771848000,NO,YES,-26630,YES,0.49,10.0,true,838.14,3289,true,0.1999999999999993,0.1999999999999993,0.0,0.0
eth-updown-15m-1771847100,polymarket,eth,1771847100,1771848000,NO,YES,-26991,YES,0.49,10.0,true,461.91,45559,true,0.1999999999999993,0.1999999999999993,0.0,0.0
sol-updown-15m-1771847100,polymarket,sol,1771847100,1771848000,NO,NO,-27296,NO,0.49,10.0,true,0.0,29583,true,5.1,5.1,0.0,0.0
xrp-updown-15m-1771847100,polymarket,xrp,1771847100,1771848000,NO,YES,-26988,YES,0.49,10.0,true,20.22,699,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-5m-1771847400,polymarket,btc,1771847400,1771847700,NO,YES,-28762,YES,0.49,10.0,true,40.0,-26057,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-5m-1771847700,polymarket,btc,1771847700,1771848000,YES,YES,-27682,YES,0.49,10.0,true,4108.44,-7337,true,0.1999999999999993,0.1999999999999993,66160.42,66200.26
btc-updown-15m-1771848000,polymarket,btc,1771848000,1771848900,YES,YES,-28754,YES,0.49,10.0,true,171.83,-9524,true,0.1999999999999993,0.1999999999999993,66207.24,66228.11
btc-updown-5m-1771848000,polymarket,btc,1771848000,1771848300,NO,YES,5862,YES,0.49,10.0,true,0.0,38832,false,-4.9,-4.9,66192.0,66182.72
eth-updown-15m-1771848000,polymarket,eth,1771848000,1771848900,YES,YES,-28621,YES,0.49,10.0,true,10.0,-8192,true,0.1999999999999993,0.1999999999999993,66207.24,66220.82
sol-updown-15m-1771848000,polymarket,sol,1771848000,1771848900,YES,YES,-28580,YES,0.49,10.0,true,132.24,-2809,true,0.1999999999999993,0.1999999999999993,66207.24,66228.11
xrp-updown-15m-1771848000,polymarket,xrp,1771848000,1771848900,YES,YES,-28576,YES,0.49,10.0,true,256.92,-528,true,0.1999999999999993,0.1999999999999993,66207.24,66228.11
btc-updown-5m-1771848300,polymarket,btc,1771848300,1771848600,YES,YES,6251,YES,0.49,10.0,true,0.0,21148,true,5.1,0.1999999999999993,66182.72,66201.86
btc-updown-5m-1771848600,polymarket,btc,1771848600,1771848900,YES,YES,-28985,YES,0.49,10.0,true,0.0,22511,true,0.1999999999999993,0.1999999999999993,66224.44,66228.11
btc-updown-15m-1771848900,polymarket,btc,1771848900,1771849800,NO,YES,6394,YES,0.49,10.0,true,102.22,45598,true,0.1999999999999993,0.1999999999999993,66228.11,66153.55
btc-updown-5m-1771848900,polymarket,btc,1771848900,1771849200,NO,NO,6192,NO,0.49,10.0,true,0.0,34447,true,5.1,5.1,66228.11,66173.0
eth-updown-15m-1771848900,polymarket,eth,1771848900,1771849800,NO,YES,6388,YES,0.49,10.0,true,0.0,16776,true,0.1999999999999993,0.1999999999999993,66228.11,66156.41
sol-updown-15m-1771848900,polymarket,sol,1771848900,1771849800,NO,YES,6609,YES,0.49,10.0,true,148.5,56959,false,-4.9,-4.9,66228.11,66118.0
xrp-updown-15m-1771848900,polymarket,xrp,1771848900,1771849800,NO,YES,6420,YES,0.49,10.0,true,27.8,8681,false,-4.9,-4.9,66228.11,66112.26
btc-updown-5m-1771849200,polymarket,btc,1771849200,1771849500,NO,YES,6355,YES,0.49,10.0,true,0.0,17985,false,-4.9,-4.9,66173.0,66118.0
btc-updown-5m-1771849500,polymarket,btc,1771849500,1771849800,YES,YES,6583,YES,0.49,10.0,false,114.98,,true,0.0,0.1999999999999993,66118.01,66153.54
btc-updown-15m-1771849800,polymarket,btc,1771849800,1771850700,YES,YES,-28768,YES,0.49,10.0,true,1007.3,40695,true,0.1999999999999993,0.1999999999999993,66138.83,66409.23
btc-updown-5m-1771849800,polymarket,btc,1771849800,1771850100,NO,YES,-28768,YES,0.49,10.0,true,19.0,1615,true,0.1999999999999993,0.1999999999999993,66138.83,65954.54
eth-updown-15m-1771849800,polymarket,eth,1771849800,1771850700,YES,YES,-28619,YES,0.49,10.0,true,311.91,14847,true,5.1,5.1,66138.83,66409.23
sol-updown-15m-1771849800,polymarket,sol,1771849800,1771850700,YES,YES,-28612,YES,0.49,10.0,true,0.0,-5405,true,0.1999999999999993,0.1999999999999993,66138.83,66442.63
xrp-updown-15m-1771849800,polymarket,xrp,1771849800,1771850700,YES,YES,-28202,YES,0.49,10.0,true,0.0,30048,true,0.1999999999999993,0.1999999999999993,66138.83,66467.7
btc-updown-5m-1771850100,polymarket,btc,1771850100,1771850400,YES,NO,6430,NO,0.49,10.0,true,0.0,39411,false,-4.9,-4.9,65954.55,66267.24
btc-updown-5m-1771850400,polymarket,btc,1771850400,1771850700,YES,NO,6238,NO,0.49,10.0,true,0.0,12119,false,-4.9,-4.9,66277.18,66409.23
btc-updown-15m-1771850700,polymarket,btc,1771850700,1771851600,NO,NO,6417,NO,0.49,10.0,true,6063.56,81896,true,5.1,5.1,66396.97,66295.29
btc-updown-5m-1771850700,polymarket,btc,1771850700,1771851000,NO,YES,6601,YES,0.49,10.0,true,0.0,56285,true,0.1999999999999993,0.1999999999999993,66396.97,66361.99
eth-updown-15m-1771850700,polymarket,eth,1771850700,1771851600,NO,YES,6606,YES,0.49,10.0,true,0.0,71743,true,0.1999999999999993,0.1999999999999993,66396.97,66280.4
sol-updown-15m-1771850700,polymarket,sol,1771850700,1771851600,NO,YES,6567,YES,0.49,10.0,true,0.0,40944,false,-4.9,-4.9,66396.97,66295.28
xrp-updown-15m-1771850700,polymarket,xrp,1771850700,1771851600,NO,YES,5963,YES,0.49,10.0,true,0.0,73887,true,0.1999999999999993,0.1999999999999993,66409.23,66280.4
btc-updown-5m-1771851000,polymarket,btc,1771851000,1771851300,NO,YES,6529,YES,0.49,10.0,true,0.0,60959,true,0.1999999999999993,0.1999999999999993,66361.99,66339.38
btc-updown-5m-1771851300,polymarket,btc,1771851300,1771851600,NO,YES,5966,YES,0.49,10.0,true,0.0,8822,true,0.1999999999999993,0.1999999999999993,66339.39,66295.28
btc-updown-15m-1771851600,polymarket,btc,1771851600,1771852500,NO,YES,6590,YES,0.49,10.0,true,3726.49,21997,true,0.1999999999999993,0.1999999999999993,66295.28,66214.36
btc-updown-5m-1771851600,polymarket,btc,1771851600,1771851900,NO,YES,5678,YES,0.49,10.0,true,1367.75,40178,true,0.1999999999999993,0.1999999999999993,66295.28,66269.65
eth-updown-15m-1771851600,polymarket,eth,1771851600,1771852500,NO,YES,6749,YES,0.49,10.0,true,1303.0,20231,true,0.1999999999999993,0.1999999999999993,66295.28,66207.24
sol-updown-15m-1771851600,polymarket,sol,1771851600,1771852500,NO,YES,6831,YES,0.49,10.0,true,7.5,13254,true,0.1999999999999993,0.1999999999999993,66295.29,66207.25
xrp-updown-15m-1771851600,polymarket,xrp,1771851600,1771852500,NO,NO,6170,NO,0.49,10.0,true,41.88,58145,true,5.1,5.1,66295.28,66207.25
btc-updown-5m-1771851900,polymarket,btc,1771851900,1771852200,YES,YES,5855,YES,0.49,10.0,true,1789.65,33507,true,0.1999999999999993,0.1999999999999993,66269.66,66345.85
btc-updown-5m-1771852200,polymarket,btc,1771852200,1771852500,NO,YES,15931,YES,0.49,10.0,true,261.95,31369,true,0.1999999999999993,0.1999999999999993,66325.8,66214.36
btc-updown-15m-1771852500,polymarket,btc,1771852500,1771853400,YES,YES,6812,YES,0.49,10.0,true,29.01,49583,true,0.1999999999999993,0.1999999999999993,66227.9,66232.94
btc-updown-5m-1771852500,polymarket,btc,1771852500,1771852800,NO,YES,6177,YES,0.49,10.0,true,189.11,11915,true,0.1999999999999993,0.1999999999999993,66227.9,66168.79
eth-updown-15m-1771852500,polymarket,eth,1771852500,1771853400,YES,YES,6066,YES,0.49,10.0,true,1742.28,40831,true,0.1999999999999993,0.1999999999999993,66214.36,66226.66
sol-updown-15m-1771852500,polymarket,sol,1771852500,1771853400,NO,YES,5983,YES,0.49,10.0,true,7.5,17137,true,0.1999999999999993,0.1999999999999993,66227.9,66226.66
xrp-updown-15m-1771852500,polymarket,xrp,1771852500,1771853400,NO,NO,6352,NO,0.49,10.0,true,337.0,10638,true,5.1,5.1,66227.9,66226.66
btc-updown-5m-1771852800,polymarket,btc,1771852800,1771853100,YES,YES,6374,YES,0.49,10.0,true,0.0,8927,true,5.1,5.1,66168.8,66177.39
btc-updown-5m-1771853100,polymarket,btc,1771853100,1771853400,YES,YES,-28373,YES,0.49,10.0,true,45.0,73210,true,0.1999999999999993,0.1999999999999993,66194.19,66232.94
btc-updown-15m-1771853400,polymarket,btc,1771853400,1771854300,YES,YES,6129,YES,0.49,10.0,true,47.73,75258,true,5.1,5.1,66232.94,66254.0
btc-updown-5m-1771853400,polymarket,btc,1771853400,1771853700,NO,YES,6426,YES,0.49,10.0,true,42.37,28869,false,-4.9,-4.9,66232.94,66170.11
eth-updown-15m-1771853400,polymarket,eth,1771853400,1771854300,YES,YES,6321,YES,0.49,10.0,true,3.0,59977,true,0.1999999999999993,0.1999999999999993,66232.94,66365.35
sol-updown-15m-1771853400,polymarket,sol,1771853400,1771854300,YES,NO,5968,NO,0.49,10.0,true,9.43,7181,false,-4.9,-4.9,66232.94,66359.29
xrp-updown-15m-1771853400,polymarket,xrp,1771853400,1771854300,YES,YES,6718,YES,0.49,10.0,true,0.0,25220,true,0.1999999999999993,0.1999999999999993,66232.94,66359.29
btc-updown-5m-1771853700,polymarket,btc,1771853700,1771854000,YES,YES,6457,YES,0.49,10.0,true,0.0,28304,true,0.1999999999999993,0.1999999999999993,66170.1,66202.83
btc-updown-5m-1771854000,polymarket,btc,1771854000,1771854300,YES,YES,6707,YES,0.49,10.0,true,3887.7,35055,true,0.1999999999999993,0.1999999999999993,66211.94,66355.0
btc-updown-15m-1771854300,polymarket,btc,1771854300,1771855200,NO,YES,-28981,YES,0.49,10.0,true,0.0,2788,true,0.1999999999999993,0.1999999999999993,66326.14,66151.3
btc-updown-5m-1771854300,polymarket,btc,1771854300,1771854600,YES,NO,5940,NO,0.49,10.0,true,18.44,49687,false,-4.9,-4.9,66356.1,66365.24
eth-updown-15m-1771854300,polymarket,eth,1771854300,1771855200,NO,YES,6363,YES,0.49,10.0,true,1237.32,9754,true,0.1999999999999993,0.1999999999999993,66356.1,66151.3
sol-updown-15m-1771854300,polymarket,sol,1771854300,1771855200,NO,YES,6160,YES,0.49,10.0,true,463.0,38204,true,0.1999999999999993,0.1999999999999993,66365.35,66143.99
xrp-updown-15m-1771854300,polymarket,xrp,1771854300,1771855200,NO,NO,6628,NO,0.49,10.0,true,7.5,13922,true,5.1,5.1,66356.1,66151.3
btc-updown-5m-1771854600,polymarket,btc,1771854600,1771854900,NO,YES,5876,YES,0.49,10.0,true,84.55,35206,true,0.1999999999999993,0.1999999999999993,66365.24,66258.32
btc-updown-5m-1771854900,polymarket,btc,1771854900,1771855200,NO,YES,6333,YES,0.49,10.0,true,7.65,52551,true,0.1999999999999993,0.1999999999999993,66258.31,66144.0
btc-updown-15m-1771855200,polymarket,btc,1771855200,1771856100,YES,YES,6207,YES,0.49,10.0,true,3324.38,18431,true,0.1999999999999993,0.1999999999999993,66151.3,66243.4
btc-updown-5m-1771855200,polymarket,btc,1771855200,1771855500,YES,YES,6279,YES,0.49,10.0,true,4889.94,86685,true,5.1,5.1,66151.3,66189.66
eth-updown-15m-1771855200,polymarket,eth,1771855200,1771856100,YES,YES,6599,YES,0.49,10.0,true,353.52,33187,true,5.1,5.1,66158.31,66249.35
sol-updown-15m-1771855200,polymarket,sol,1771855200,1771856100,YES,YES,6329,YES,0.49,10.0,true,0.0,21167,true,0.1999999999999993,0.1999999999999993,66151.3,66249.35
xrp-updown-15m-1771855200,polymarket,xrp,1771855200,1771856100,YES,NO,6868,NO,0.49,10.0,true,0.0,66135,false,-4.9,-4.9,66158.31,66243.37
